NAME,IPC,period
Beitbridge,3,June - Sept 2019
Bikita,3,June - Sept 2019
Bindura,2,June - Sept 2019
Binga,3,June - Sept 2019
Bubi,3,June - Sept 2019
Buhera,3,June - Sept 2019
Bulawayo,3,June - Sept 2019
Bulilima,3,June - Sept 2019
Mangwe,3,June - Sept 2019
Centenary/ Muzarabani,3,June - Sept 2019
Chegutu,2,June - Sept 2019
Chikomba,3,June - Sept 2019
Chimanimani,3,June - Sept 2019
Chipinge,3,June - Sept 2019
Chiredzi,3,June - Sept 2019
Chirumhanzu,3,June - Sept 2019
Chivi,3,June - Sept 2019
Gokwe North,3,June - Sept 2019
Gokwe South,3,June - Sept 2019
Goromonzi,3,June - Sept 2019
Guruve,3,June - Sept 2019
Gutu,3,June - Sept 2019
Gwanda,3,June - Sept 2019
Gweru,3,June - Sept 2019
Harare,2,June - Sept 2019
Hurungwe,2,June - Sept 2019
Hwange,3,June - Sept 2019
Hwedza,3,June - Sept 2019
Insiza,3,June - Sept 2019
Kadoma Urban,3,June - Sept 2019
Kariba,2,June - Sept 2019
Kwekwe,3,June - Sept 2019
Lupane,3,June - Sept 2019
Makonde,2,June - Sept 2019
Makoni,3,June - Sept 2019
Marondera,3,June - Sept 2019
Masvingo,3,June - Sept 2019
Matobo,3,June - Sept 2019
Mazowe,2,June - Sept 2019
Mberengwa,3,June - Sept 2019
Mbire,3,June - Sept 2019
Mount Darwin,3,June - Sept 2019
Mudzi,3,June - Sept 2019
Murehwa,3,June - Sept 2019
Mutare,3,June - Sept 2019
Mutasa,3,June - Sept 2019
Mutoko,3,June - Sept 2019
Mwenezi,3,June - Sept 2019
Nkayi,3,June - Sept 2019
Nyanga,3,June - Sept 2019
Rushinga,3,June - Sept 2019
Seke,3,June - Sept 2019
Shamva,2,June - Sept 2019
Shurugwi,3,June - Sept 2019
Tsholotsho,3,June - Sept 2019
Umguza,3,June - Sept 2019
Umzingwane,3,June - Sept 2019
Uzumba Maramba Pfungwe,3,June - Sept 2019
Zaka,3,June - Sept 2019
Zvimba,2,June - Sept 2019
Zvishavane,3,June - Sept 2019
Sanyati,3,June - Sept 2019
Mhondoro-Ngezi,3,June - Sept 2019
Harare Rural,2,June - Sept 2019
Chitungwiza,3,June - Sept 2019
Epworth,3,June - Sept 2019
Ruwa Local Board,3,June - Sept 2019