Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,5,53,53
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,6,7,7
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,10,32,32
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,11,7,7
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,13,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,16,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,19,40,40
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,21,40,40
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,23,20,20
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,24,19,19
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,25,517,500
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,27,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,29,856,2000
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Buhera,33,81,81
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,3,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,4,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,8,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,9,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,10,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,11,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,12,7067,13300
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,13,4149,14000
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,14,4550,16600
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,15,10825,9265
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,16,9766,10000
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,17,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,18,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,21,2993,2993
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,22,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chimanimani,23,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,2,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,3,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,4,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,5,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,6,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,7,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,8,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,9,3180,5000
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,11,983,983
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,12,909,909
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,13,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,14,1167,1167
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,15,3325,3325
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,16,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,17,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,18,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,19,1571,1571
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,20,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,21,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,25,865,3463
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutare,22,446,2082
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutasa,11,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutasa,19,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Bikita,26,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Chiredzi,24,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Gutu,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Gutu,11,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Masvingo,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,2,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,3,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,5,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,6,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,7,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,14,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,15,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,17,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,20,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,21,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,22,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,24,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,27,0,0
